job title,job location
Athens Commodity Trading Graduate Programme,"Athens, Greece"
Accounts Payable Accounts Receivable Analyst,"Montevideo, Uruguay"
Senior Software Developer - Power Trading,"Copenhagen DK, Denmark"
Warehousing Supervisor,"Antofagasta, Chile"
Financial Controller,"Santiago de Chile, Chile"
Analyst - Settlements,"Mumbai, India"
Financial Compliance Officer,"Athens, Greece"
Analyst - Financial & Operational Control,"Mumbai, India"
Natural Gas Scheduler,"Houston, United States of America"
Junior Commodity Credit Portfolio Manager,"Geneva, Switzerland"
Management Accountant,"Montevideo, Uruguay"
LNG Cargo Operator,"Geneva, Switzerland"
Traf Analyst,"Montevideo, Uruguay"
Operations Support Analyst,"Montevideo, Uruguay"
Analyst - Trade Finance,"Mumbai, India"
Accounting Operations Analyst - fixed term,"Montevideo, Uruguay"
IT Security Engineer,"Athens, Greece"
Regional Recruiter - North America,"Houston, United States of America"
FRENCH SPEAKING Operational Controller,"Johannesburg, South Africa"
Analyst - Trade Finance,"Mumbai, India"
Latin America Oil Market Analyst - Uruguay Regional Office,Buenos Aires - Traf Office
Market Risk Financial Engineer,"Copenhagen DK, Denmark"
Market Risk Financial Engineer,"Geneva, Switzerland"
Credit Support Analyst,"Montevideo, Uruguay"
Jefe de Proyectos y Productividad,"Lima, Peru"
Business Developer,"Belo Horizonte, Brazil"
OneStream Techno-Functional Lead,"Schiphol, Netherlands"
Senior Quality Assurance Manager,"Mumbai, India"
Counterparty Documentation Specialist - Maternity Cover,"Geneva, Switzerland"
Contracts Analyst,"Athens, Greece"
Senior Analyst - Payroll Accounting,"Mumbai, India"
Quant Developer,"Copenhagen DK, Denmark"
Senior Software Engineer (Backend),"Mumbai, India"
Fuel Oil Analyst,"Geneva, Switzerland"
Oil Operator,"Singapore, Singapore"
Quantitative Analyst,"Geneva, Switzerland"
Credit Support Analyst,"Mumbai, India"
Senior Analyst - FX Risk Management,"Mumbai, India"
Full Stack Developer,"Montevideo, Uruguay"
Team Lead - Treasury,"Mumbai, India"
Oil Operator,"Montevideo, Uruguay"
Analyst - Bunker Operations,"Mumbai, India"
Oil Operator,"Singapore, Singapore"
Terminal Operations Manager (Campana),"Campana, Argentina"
Gerente de Seguridad y Salud Ocupacional,Ayacucho-Mining Mine
Analyst - Direct Tax,"Mumbai, India"
Analyst - Deals Desk,"Mumbai, India"
Accounting Operations Analyst,"Montevideo, Uruguay"
Pipeline Scheduler,"Calgary, Canada"
Risk Analyst,"Athens, Greece"
QA Analyst,"Montevideo, Uruguay"
Refined Metals Operator,"Montevideo, Uruguay"
"IT Project Manager - ESG, Health & Safety","Schiphol, Netherlands"
"IT Business Analyst – ESG, Health & Safety","Schiphol, Netherlands"
IT Analyst,"Montevideo, Uruguay"
Settlements Analyst - Power Markets,"Calgary, Canada"
PMO Assistant Intern,"Shanghai, China"
Oil Shipping Operator,"Houston, United States of America"
International Trader Opportunity,"Geneva, Switzerland"
International Trader Opportunity,"Houston, United States of America"
International Trader Opportunity,"Singapore, Singapore"
IT Security Engineer,"London, United Kingdom"
Operador en Terminal Campana,"Campana, Argentina"
HR Business Partner,"London, United Kingdom"
Analyst - Group Reporting,"Mumbai, India"
Latin America Oil Market Analyst,"Montevideo, Uruguay"
IT Security Engineer,"Calgary, Canada"
Legal Counsel,"Montevideo, Uruguay"
Legal Counsel,"piso 8vo, Argentina"
Legal Counsel - Uruguay Regional Office,"piso 8vo, Argentina"
Legal Counsel - Uruguay Regional Office,"Lima, Peru"
Legal Counsel - Uruguay Regional Office,"Bogota, Colombia"
Cloud DevOps Engineer,"Calgary, Canada"
Renewables Analyst,"Geneva, Switzerland"
BCP Specialist,"Montevideo, Uruguay"
Analyst - Oil Operations,"Mumbai, India"
Analyst - Deals Desk,"Mumbai, India"
Analyst - Operations,"Mumbai, India"
Structured Finance Manager,"Geneva, Switzerland"
Front Office D&A Application Engineer,"Mumbai, India"
AVP - IT Security Engineer,"Mumbai, India"
CTRM Business Architect - Back Office,"Geneva, Switzerland"
Principal Cloud DevOps Engineer,"London, United Kingdom"
Quant Risk Analyst - Gas&Power Trading,"Copenhagen DK, Denmark"
Manager - Quality Assurance,"Mumbai, India"
Lead Business Analyst – Front Office,"Mumbai, India"
Technical Lead – Titan Back Office,"Mumbai, India"
Technical Lead – Titan Front Office,"Mumbai, India"
Quality Assurance Manager – Titan Back Office,"Mumbai, India"
Quality Assurance Manager – Titan Front Office,"Mumbai, India"
Lead Business Analyst – Back Office,"Mumbai, India"
